Model,Dataset,Method,Alpha,Alpha K,Alpha S,K,Validity,Prob. Plaus.,Log Dens.,L1,L2
LR,Moons,GCE,1000,1,1000,34.5,1.0,0.97,1.1,0.55,0.4
LR,Moons,GCE,1000,10,1,11.0,1.0,0.99,1.13,0.57,0.42
LR,Moons,GCE,1000,10,10,17.0,1.0,0.99,1.12,0.54,0.4
LR,Moons,GCE,1000,10,100,23.0,1.0,0.99,1.15,0.57,0.41
LR,Moons,GCE,1000,10,1000,33.0,1.0,0.99,1.14,0.56,0.41
LR,Moons,GCE,1000,100,1,5.5,1.0,0.96,1.14,0.59,0.43
LR,Moons,GCE,1000,100,10,6.0,1.0,0.96,1.1,0.57,0.42
LR,Moons,GCE,1000,100,100,13.5,1.0,0.97,1.14,0.57,0.42
LR,Moons,GCE,1000,100,1000,24.5,1.0,0.97,1.16,0.58,0.43
LR,Moons,GCE,1000,1000,1,3.5,1.0,0.87,1.05,0.62,0.45
LR,Moons,GCE,1000,1000,10,2.5,1.0,0.87,1.05,0.63,0.46
LR,Moons,GCE,1000,1000,100,4.0,1.0,0.93,1.11,0.64,0.46
LR,Moons,GCE,1000,1000,1000,8.0,1.0,0.87,1.06,0.62,0.45
LR,Wine,GCE,1,1,1,3.33,1.0,0.92,7.23,1.65,0.53
LR,Wine,GCE,1,1,10,4.0,0.98,0.97,7.27,1.6,0.51
LR,Wine,GCE,1,1,100,6.33,1.0,0.93,7.07,1.37,0.47
LR,Wine,GCE,1,1,1000,8.33,1.0,0.97,7.26,1.38,0.46
LR,Wine,GCE,1,10,1,2.33,1.0,0.69,7.31,1.82,0.58
LR,Wine,GCE,1,10,10,3.0,1.0,0.73,6.93,1.81,0.59
LR,Wine,GCE,1,10,100,3.33,1.0,0.86,6.78,1.66,0.55
LR,Wine,GCE,1,10,1000,7.67,1.0,0.95,7.02,1.39,0.47
LR,Wine,GCE,1,100,1,1.0,0.95,0.51,4.49,1.86,0.58
LR,Wine,GCE,1,100,10,1.0,1.0,0.52,4.76,1.86,0.59
LR,Wine,GCE,1,100,100,2.33,1.0,0.57,5.58,1.74,0.57
LR,Wine,GCE,1,100,1000,2.67,0.95,0.8,5.86,1.65,0.54
LR,Wine,GCE,1,1000,1,1.0,1.0,0.59,4.77,1.86,0.59
LR,Wine,GCE,1,1000,10,1.0,1.0,0.59,4.77,1.87,0.59
LR,Wine,GCE,1,1000,100,1.0,0.98,0.53,4.69,1.86,0.58
LR,Wine,GCE,1,1000,1000,2.0,0.98,0.68,5.05,1.68,0.55
LR,Wine,GCE,10,1,1,3.33,1.0,0.98,7.72,1.75,0.56
LR,Wine,GCE,10,1,10,7.33,1.0,1.0,8.17,1.58,0.51
LR,Wine,GCE,10,1,100,6.67,1.0,1.0,7.94,1.51,0.49
LR,Wine,GCE,10,1,1000,7.0,1.0,1.0,8.0,1.58,0.52
LR,Wine,GCE,10,10,1,2.0,1.0,0.94,7.28,2.01,0.64
LR,Wine,GCE,10,10,10,3.67,1.0,0.97,7.66,1.84,0.6
LR,Wine,GCE,10,10,100,4.33,1.0,0.98,7.66,1.62,0.54
LR,Wine,GCE,10,10,1000,7.0,1.0,1.0,7.89,1.52,0.5
LR,Wine,GCE,10,100,1,2.0,1.0,0.83,7.25,2.05,0.65
LR,Wine,GCE,10,100,10,1.67,1.0,0.74,6.82,2.05,0.67
LR,Wine,GCE,10,100,100,2.33,1.0,0.72,7.03,2.03,0.65
LR,Wine,GCE,10,100,1000,4.67,1.0,0.93,7.21,1.76,0.57
LR,Wine,GCE,10,1000,1,1.0,1.0,0.52,4.83,1.96,0.61
LR,Wine,GCE,10,1000,10,1.0,0.98,0.63,4.8,1.96,0.62
LR,Wine,GCE,10,1000,100,1.0,1.0,0.59,4.83,1.95,0.61
LR,Wine,GCE,10,1000,1000,2.67,1.0,0.71,5.18,1.83,0.59
LR,Wine,GCE,100,1,1,4.33,1.0,1.0,8.67,2.03,0.64
LR,Wine,GCE,100,1,10,5.67,1.0,1.0,8.6,1.9,0.6
LR,Wine,GCE,100,1,100,6.0,1.0,0.98,8.36,1.88,0.59
LR,Wine,GCE,100,1,1000,7.67,1.0,1.0,8.37,1.87,0.59
LR,Wine,GCE,100,10,1,2.33,1.0,1.0,8.29,2.1,0.67
LR,Wine,GCE,100,10,10,4.0,1.0,1.0,8.15,1.94,0.63
LR,Wine,GCE,100,10,100,5.0,1.0,1.0,8.64,2.02,0.64
LR,Wine,GCE,100,10,1000,7.0,1.0,1.0,8.63,1.87,0.59
LR,Wine,GCE,100,100,1,2.33,1.0,1.0,7.73,2.28,0.73
LR,Wine,GCE,100,100,10,2.33,1.0,1.0,7.97,2.21,0.71
LR,Wine,GCE,100,100,100,3.33,1.0,1.0,7.69,2.1,0.69
