dataset,disc_model,method,K_vectors,validity,prob_plausibility,cf_belongs_to_group,log_density_cf,proximity_continuous_manhattan,proximity_continuous_euclidean,isolation_forest_scores_cf,lof_scores_cf,time,coverage,actionability,sparsity,proximity_categorical_hamming,proximity_categorical_jaccard,proximity_continuous_mad,proximity_l2_jaccard,proximity_mad_hamming,log_density_test,lof_scores_test,isolation_forest_scores_test
LawDataset,MultinomialLogisticRegression,wach,,1.0,0.0377358490566037,,-9.773676,0.668614119787718,0.6235485237234866,-0.0977020681099495,1.8466048,200.0340631008148,1.0,0.0,1.0,,0.6235485237234866,5.732526993976449,0.6235485237234866,,1.5876768,1.071542,0.0237169291630696
LawDataset,MultinomialLogisticRegression,wach,,1.0,0.0275229357798165,,-12.473111,0.726881566021694,0.6596856758201936,-0.0925729296850743,2.0347463602471416,201.7987048625946,0.995433789954338,0.0,1.0,,0.6596856758201936,6.285139752520137,0.6596856758201936,,1.5777702,1.0739974,0.0270197186107584
LawDataset,MultinomialLogisticRegression,wach,,1.0,0.0737704918032786,,-12.635378,0.6730080754610664,0.628241179693964,-0.088556974576214,1.907627,230.2148480415344,1.0,0.0,1.0,,0.628241179693964,5.792195019174795,0.628241179693964,,1.4528105,1.0832399,0.0163861374136402
LawDataset,MultinomialLogisticRegression,wach,,1.0,0.0516431924882629,,-14.71485,0.6470254543084354,0.6013304340573741,-0.095426850457862,1.905070250961786,200.8287842273712,0.9953271028037384,0.0,1.0,,0.6013304340573741,5.512019918993648,0.6013304340573741,,1.6364013,1.0678984,0.0276222578383828
LawDataset,MultinomialLogisticRegression,wach,,1.0,0.0560747663551401,,-5.747538,0.6133455448984125,0.5839495143178584,-0.099184692798828,1.8545408045287384,205.61303210258484,0.9953488372093025,0.0,1.0,,0.5839495143178584,5.367270179143133,0.5839495143178584,,1.6328764,1.0648608,0.0271041126714871
LawDataset,MultinomialLogisticRegression,Artelt,,1.0,0.410377358490566,,-0.21500927,0.1955498074880047,0.1955483959959727,0.0166046880349487,1.145790348094862,15.310909986495972,1.0,0.0,1.0,,0.1955483959959727,1.674131659781838,0.1955483959959727,,1.5876768,1.071542,0.0237169291630696
LawDataset,MultinomialLogisticRegression,Artelt,,1.0,0.365296803652968,,0.20200224,0.1963445793745382,0.1963428661136657,0.0152713636555599,1.1396222525933937,12.299373149871826,1.0,0.0,1.0,,0.1963428661136657,1.6950610168837716,0.1963428661136657,,1.575782,1.0737213,0.0269870600411245
LawDataset,MultinomialLogisticRegression,Artelt,,1.0,0.3647540983606557,,-0.06663829,0.2092247247266237,0.2092227846372594,0.0108074588795101,1.1404645149518835,9.185911893844604,1.0,0.0,1.0,,0.2092227846372594,1.8041838601533555,0.2092227846372594,,1.4528105,1.0832399,0.0163861374136402
LawDataset,MultinomialLogisticRegression,Artelt,,1.0,0.4485981308411215,,0.07642917,0.1893082761612199,0.1893059452766403,0.0138473957735476,1.1713307625757408,10.21838402748108,1.0,0.0,1.0,,0.1893059452766403,1.6226405174214624,0.1893059452766403,,1.6328961,1.0677781,0.0273384599262536
LawDataset,MultinomialLogisticRegression,Artelt,,1.0,0.3720930232558139,,0.12385689,0.1918216378317702,0.1918201946177097,0.0174508932038792,1.1366883533113616,11.546746015548706,1.0,0.0,1.0,,0.1918201946177097,1.680189019789156,0.1918201946177097,,1.6255394,1.0653164,0.0266114456962563
LawDataset,MultinomialLogisticRegression,DiCE,,1.0,0.2028301886792453,,-1.900929,0.6375816523071097,0.5371858941578809,-0.0619834364141318,1.3959878890326325,36.56943321228027,1.0,0.0,0.5172955974842768,,0.5371858941578809,5.357831483075282,0.5371858941578809,,1.5876768,1.071542,0.0237169291630696
LawDataset,MultinomialLogisticRegression,DiCE,,1.0,0.1232876712328767,,-3.3867784,0.7016389085379637,0.5814045154702776,-0.0811028421602122,1.4740868545753645,33.988003969192505,1.0,0.0,0.5357686453576864,,0.5814045154702776,5.984147392062157,0.5814045154702776,,1.575782,1.0737213,0.0269870600411245
LawDataset,MultinomialLogisticRegression,DiCE,,1.0,0.110655737704918,,-2.780559,0.7327265625124889,0.6083554825187639,-0.0722330641784773,1.4323590462447378,44.993448972702026,1.0,0.0,0.5341530054644809,,0.6083554825187639,6.282134266574829,0.6083554825187639,,1.4528105,1.0832399,0.0163861374136402
