"Id","Creation Time","Tags","parameters/method","parameters/disc_model/model_name","parameters/dataset","parameters/counterfactuals/K","metrics/cf/K_vectors","parameters/counterfactuals/origin_class","metrics/cf/valid_cf_disc","metrics/cf/flow_prob_condition_acc","metrics/cf/cf_belongs_to_group","metrics/cf/plausibility","metrics/cf/flow_log_density_cfs","metrics/cf/dissimilarity_proximity_continuous_euclidean","metrics/cf/dissimilarity_proximity_continuous_manhatan","metrics/cf/isolation_forest_scores_cfs","metrics/cf/lof_scores_cfs"
"COUN-7214","2024-05-19 13:56:14","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","1","1.0","2","1.0","0.9300000071525574","1.0","0.012983026769355654","2.793668746948242","0.6375739853230608","0.8778858513967134","0.01726831259605754","1.0526645183563232"
"COUN-7213","2024-05-19 13:54:43","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","60","52.0","1","1.0","1.0","1.0","0.04242578669356016","2.09908127784729","0.20876916562208891","0.33878763402457784","0.06190276614581839","1.0254851579666138"
"COUN-7212","2024-05-19 13:54:23","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","100","20.0","1","1.0","1.0","0.99","0.012148288648667073","2.884204626083374","0.4214160553367786","0.588546495437622","0.03567597098037206","1.048323392868042"
"COUN-7211","2024-05-19 13:53:49","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","90","16.0","1","1.0","1.0","1.0","0.01170221264501922","3.0302987098693848","0.4429760367365054","0.6194708934426307","0.04377303165628414","1.0334982872009277"
"COUN-7210","2024-05-19 13:53:38","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","80","20.0","1","1.0","1.0","1.0","0.012403451608986977","2.931704521179199","0.4565748296205083","0.6406793075799943","0.03662213333248213","1.0426267385482788"
"COUN-7209","2024-05-19 13:53:28","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","70","21.0","1","1.0","0.9800000190734863","1.0","0.011231299019805267","2.985691547393799","0.4553258586182419","0.6365117743611336","0.04009174160655062","1.0368337631225586"
"COUN-7208","2024-05-19 13:53:04","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","50","45.0","1","1.0","1.0","1.0","0.04287882450286881","2.0933384895324707","0.20781030435044945","0.3344452337617368","0.06306120215057996","1.027519941329956"
"COUN-7207","2024-05-19 13:52:40","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","60","18.0","1","1.0","0.9900000095367432","0.99","0.011865121496086109","2.9011452198028564","0.43756371415543394","0.6090555921196937","0.037095738659780685","1.04036545753479"
"COUN-7206","2024-05-19 13:51:32","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","40","38.0","1","1.0","1.0","1.0","0.04361959156583938","2.111116647720337","0.21465924701719902","0.3525344722830089","0.06197229773516248","1.0255978107452393"
"COUN-7205","2024-05-19 13:50:57","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","50","15.0","1","1.0","0.9800000190734863","0.99","0.012378458893968415","2.8556787967681885","0.4369654398763219","0.6115228265523911","0.034618256628088005","1.053418517112732"
"COUN-7204","2024-05-19 13:50:08","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","30","29.0","1","1.0","1.0","1.0","0.041475962903643054","2.0872652530670166","0.2113920853268319","0.3488742427620213","0.060866193132992734","1.0265980958938599"
"COUN-7203","2024-05-19 13:49:22","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","40","14.0","1","1.0","0.949999988079071","0.98","0.012677748219126641","2.756451368331909","0.4287425214343494","0.6010062065720558","0.02785952237865774","1.06034255027771"
