"Id","Creation Time","Tags","parameters/method","parameters/disc_model/model_name","parameters/dataset","metrics/cf/K_vectors","parameters/counterfactuals/origin_class","metrics/cf/valid_cf_disc","metrics/cf/flow_prob_condition_acc","metrics/cf/cf_belongs_to_group","metrics/cf/plausibility","metrics/cf/flow_log_density_cfs","metrics/cf/dissimilarity_proximity_continuous_euclidean","metrics/cf/dissimilarity_proximity_continuous_manhatan","metrics/cf/isolation_forest_scores_cfs","metrics/cf/lof_scores_cfs","parameters/counterfactuals/alpha","parameters/counterfactuals/alpha_k","parameters/counterfactuals/alpha_s"
"COUN-8204","2024-05-19 20:10:59","[""no_plausability"",""Q1_log_prob_threshold"",""all_methods"",""lambda_ablation"",""19.05"",""GCE""]","GCE","MultilayerPerceptron","MoonsDataset","9.0","1","1.0","1.0","0.9705882352941176","0.02665456612351302","1.6066418886184692","0.5758951944026452","0.7855939772505057","0.00517286165696914","1.0947095155715942","1000","10","1"
"COUN-8328","2024-05-19 21:04:22","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","2.0","0","1.0","1.0","1.0","0.6099565677573927","7.329408168792725","0.4342963756633586","1.3849384444765747","0.06885206865729217","1.0341182947158813","1","1","10"
"COUN-8336","2024-05-19 21:05:26","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","7.0","0","1.0","1.0","1.0","0.5806662327720439","7.2678046226501465","0.38522092948531","1.161240635594974","0.06964018367161937","1.030801773071289","1","1","1000"
"COUN-8330","2024-05-19 21:04:38","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","1.0","0","1.0","1.0","1.0","0.5985947508501621","7.285583972930908","0.4533582701643309","1.4645712072961032","0.06856407396965884","1.031808614730835","1","100","10"
"COUN-8350","2024-05-19 21:08:00","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","4.0","0","1.0","1.0","1.0","0.5860056181617753","7.531757831573486","0.408719683518386","1.2243717152935762","0.0668523114066744","1.0388656854629517","10","10","100"
"COUN-8452","2024-05-19 21:35:29","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","4.0","1","1.0","1.0","0.8571428571428571","0.5002573348530881","7.854195594787598","0.7884855245065495","2.410808762535453","0.052179017378359456","1.0728964805603027","1000","1000","10"
"COUN-8449","2024-05-19 21:33:48","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","9.0","1","1.0","1.0","0.8571428571428571","0.4604990315385687","10.348050117492676","0.7051916678325955","2.1944938746414016","0.07934652606757985","1.0126464366912842","1000","1","10"
"COUN-8455","2024-05-19 21:36:45","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","6.0","1","1.0","1.0","1.0","0.4669288837712127","8.431018829345703","0.7346934317777079","2.3348558877727816","0.062354437148524636","1.0334231853485107","1000","100","100"
"COUN-8542","2024-05-19 21:56:37","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","5.0","0","1.0","1.0","1.0","0.581065467400499","6.400270938873291","0.4251371494574412","1.2278223265893757","0.06382325050502972","1.0547131299972534","1","10","1000"
"COUN-8536","2024-05-19 21:55:46","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","1.0","0","1.0","1.0","1.0","0.5853165548661323","7.096628665924072","0.4834170012282166","1.5085474130076666","0.061211534644850185","1.0542744398117065","1","1000","10"
