"Id","Creation Time","Tags","parameters/disc_model/model_name","parameters/dataset","parameters/counterfactuals/origin_class","metrics/cf/K_vectors","metrics/cf/valid_cf_disc","metrics/cf/flow_prob_condition_acc","metrics/cf/cf_belongs_to_group","parameters/experiment/relabel_with_disc_model","metrics/cf/flow_log_density_cfs","metrics/cf/dissimilarity_proximity_continuous_euclidean","metrics/cf/dissimilarity_proximity_continuous_manhatan","metrics/cf/isolation_forest_scores_cfs","metrics/cf/lof_scores_cfs"
"COUN-5451","2024-05-13 23:27:17","[""exp_v7"",""plausability"",""GLOBAL_PPCEF"",""ARES""]","MultinomialLogisticRegression","WineDataset","1","1.0","1.0","0.0","1.0","true","-0.8552893400192261","0.6887356907145302","2.210740083296384","0.013162675902452268","1.2463771104812622"
"COUN-5450","2024-05-13 23:27:11","[""exp_v7"",""plausability"",""GLOBAL_PPCEF"",""ARES""]","MultinomialLogisticRegression","WineDataset","0","1.0","1.0","0.4166666567325592","1.0","true","8.640125274658203","0.7600799557395018","2.389731847525885","0.06286579326656799","1.0157146453857422"
"COUN-5449","2024-05-13 23:27:06","[""exp_v7"",""plausability"",""GLOBAL_PPCEF"",""ARES""]","MultilayerPerceptron","BlobsDataset","2","1.0","1.0","0.4300000071525574","1.0","true","2.558897018432617","0.6829010106717343","0.9396765522495844","0.006177299248945151","1.0942119359970093"
"COUN-5448","2024-05-13 23:27:01","[""exp_v7"",""plausability"",""GLOBAL_PPCEF"",""ARES""]","MultilayerPerceptron","BlobsDataset","1","1.0","1.0","0.41999998688697815","1.0","true","2.5636909008026123","0.4553682377216957","0.6386410903930664","0.023336826633424863","1.096563696861267"
"COUN-5447","2024-05-13 23:26:55","[""exp_v7"",""plausability"",""GLOBAL_PPCEF"",""ARES""]","MultilayerPerceptron","BlobsDataset","0","1.0","1.0","0.5299999713897705","1.0","true","2.6178483963012695","0.4549621872311063","0.6384445396065712","0.00989610177036427","1.078645944595337"
"COUN-5446","2024-05-13 23:26:50","[""exp_v7"",""plausability"",""GLOBAL_PPCEF"",""ARES""]","MultinomialLogisticRegression","BlobsDataset","2","1.0","1.0","0.44999998807907104","1.0","true","2.5561797618865967","0.6887706224664174","0.948207677139435","0.00580689280698566","1.095241904258728"
"COUN-5445","2024-05-13 23:26:45","[""exp_v7"",""plausability"",""GLOBAL_PPCEF"",""ARES""]","MultinomialLogisticRegression","BlobsDataset","1","1.0","1.0","0.3799999952316284","1.0","true","2.5446221828460693","0.4613071872635715","0.6464845228195191","0.022793258163045716","1.0998551845550537"
"COUN-5444","2024-05-13 23:26:40","[""exp_v7"",""plausability"",""GLOBAL_PPCEF"",""ARES""]","MultinomialLogisticRegression","BlobsDataset","0","1.0","1.0","0.5400000214576721","1.0","true","2.6275839805603027","0.4572008931313928","0.6406136122345925","0.009847548437981865","1.075032114982605"
"COUN-5443","2024-05-13 23:26:30","[""ARES"",""plausability"",""exp_v7"",""GLOBAL_PPCEF""]","MultilayerPerceptron","LawDataset","1","1.0","0.7854545712471008","0.5462962985038757","1.0","true","1.6098685264587402","0.3308407634862292","0.5047703648193015","0.01531532391476818","1.0909366607666016"
"COUN-5442","2024-05-13 23:26:23","[""ARES"",""plausability"",""exp_v7"",""GLOBAL_PPCEF""]","LogisticRegression","LawDataset","1","1.0","0.9646017551422119","0.34403669834136963","1.0","true","1.336428165435791","0.4505952214290353","0.7753230089988183","0.006843494219984535","1.0866254568099976"
"COUN-5441","2024-05-13 23:26:17","[""ARES"",""plausability"",""exp_v7"",""GLOBAL_PPCEF""]","MultilayerPerceptron","LawDataset","0","1.0","0.5879120826721191","0.5700934529304504","1.0","true","1.6646556854248047","0.20343048961623267","0.3463287590263046","0.03718221537302483","1.0628645420074463"
"COUN-5440","2024-05-13 23:26:11","[""ARES"",""plausability"",""exp_v7"",""GLOBAL_PPCEF""]","LogisticRegression","LawDataset","0","1.0","0.9449541568756104","0.3883495032787323","1.0","true","1.1850568056106567","0.37660188092371016","0.6213696824332464","0.010332662477353566","1.0963112115859985"
"COUN-5439","2024-05-13 23:26:05","[""ARES"",""plausability"",""exp_v7"",""GLOBAL_PPCEF""]","MultilayerPerceptron","MoonsDataset","1","1.0","0.6382978558540344","0.3444444537162781","1.0","true","-0.8175689578056335","0.4663726738814585","0.6374255139794615","-0.0293166070687297","1.7082020044326782"
"COUN-5438","2024-05-13 23:26:00","[""ARES"",""plausability"",""exp_v7"",""GLOBAL_PPCEF""]","LogisticRegression","MoonsDataset","1","1.0","0.9130434989929199","0.20952381193637848","1.0","true","-0.4409836530685425","0.4346499982708972","0.6144896988357816","0.0027442400382650467","1.323575735092163"
"COUN-5437","2024-05-13 23:25:55","[""ARES"",""plausability"",""exp_v7"",""GLOBAL_PPCEF""]","MultilayerPerceptron","MoonsDataset","0","1.0","0.6307692527770996","0.0","1.0","true","-0.5210558772087097","0.21125877865495082","0.28652452728029615","-0.004940506620606557","1.3908445835113525"
"COUN-5436","2024-05-13 23:25:50","[""ARES"",""plausability"",""exp_v7"",""GLOBAL_PPCEF""]","LogisticRegression","MoonsDataset","0","1.0","0.9222221970558167","0.2409638613462448","1.0","true","0.08821534365415573","0.5000379805416917","0.6934681536366109","-0.013288507924736443","1.262727975845337"
"COUN-5435","2024-05-13 23:25:08","[""PPCEF"",""exp_v7"",""plausability"",""GLOBAL_PPCEF""]","MultilayerPerceptron","WineDataset","2","11.0","1.0","1.0","1.0","true","8.881763458251953","0.5836764384070485","1.88116603391245","0.07430191184346101","1.007808804512024"
"COUN-5434","2024-05-13 23:25:00","[""PPCEF"",""exp_v7"",""plausability"",""GLOBAL_PPCEF""]","MultilayerPerceptron","WineDataset","1","10.0","1.0","1.0","1.0","true","8.908377647399902","0.4759003817574068","1.5432137113064528","0.09363093625958548","0.9953433275222778"
"COUN-5433","2024-05-13 23:24:54","[""PPCEF"",""exp_v7"",""plausability"",""GLOBAL_PPCEF""]","MultilayerPerceptron","WineDataset","0","14.0","1.0","1.0","1.0","true","8.954583168029785","0.7164207643446463","2.233021763153374","0.0730242968657774","1.0109797716140747"
"COUN-5432","2024-05-13 23:24:46","[""PPCEF"",""exp_v7"",""plausability"",""GLOBAL_PPCEF""]","MultinomialLogisticRegression","WineDataset","2","10.0","1.0","1.0","1.0","true","9.989702224731445","0.6055543352089519","1.9417268042918294","0.08413235330372619","1.014636516571045"
"COUN-5431","2024-05-13 23:24:38","[""PPCEF"",""exp_v7"",""plausability"",""GLOBAL_PPCEF""]","MultinomialLogisticRegression","WineDataset","1","14.0","1.0","1.0","1.0","true","10.405050277709961","0.5464287155227943","1.7692012220088924","0.08520612723932237","1.0168200731277466"
"COUN-5430","2024-05-13 23:24:31","[""PPCEF"",""exp_v7"",""plausability"",""GLOBAL_PPCEF""]","MultinomialLogisticRegression","WineDataset","0","12.0","1.0","1.0","1.0","true","9.699298858642578","0.48862244772164365","1.5505789048038423","0.0915884348221831","1.005724310874939"
"COUN-5429","2024-05-13 23:24:25","[""PPCEF"",""exp_v7"",""plausability"",""GLOBAL_PPCEF""]","MultilayerPerceptron","BlobsDataset","2","100.0","1.0","1.0","1.0","true","2.9748833179473877","0.6125912895343333","0.8492682306305506","0.029913746181085527","1.0178583860397339"
"COUN-5428","2024-05-13 23:24:20","[""PPCEF"",""exp_v7"",""plausability"",""GLOBAL_PPCEF""]","MultilayerPerceptron","BlobsDataset","1","100.0","1.0","1.0","1.0","true","3.0041842460632324","0.3923541778569066","0.5496291792392731","0.04278871871971702","1.0412596464157104"
"COUN-5427","2024-05-13 23:24:12","[""PPCEF"",""exp_v7"",""plausability"",""GLOBAL_PPCEF""]","MultilayerPerceptron","BlobsDataset","0","100.0","1.0","1.0","1.0","true","2.9932875633239746","0.3931255777746375","0.5516522699594497","0.03462024887992346","1.0289589166641235"
"COUN-5426","2024-05-13 23:24:03","[""PPCEF"",""exp_v7"",""plausability"",""GLOBAL_PPCEF""]","MultinomialLogisticRegression","BlobsDataset","2","100.0","1.0","1.0","1.0","true","3.017798662185669","0.6163053856691726","0.8511784045235253","0.03163214965032782","1.0125517845153809"
"COUN-5425","2024-05-13 23:23:55","[""PPCEF"",""exp_v7"",""plausability"",""GLOBAL_PPCEF""]","MultinomialLogisticRegression","BlobsDataset","1","100.0","1.0","1.0","1.0","true","3.0036141872406006","0.39414335915930787","0.5500706720352173","0.04445113568230175","1.0684728622436523"
"COUN-5424","2024-05-13 23:23:46","[""PPCEF"",""exp_v7"",""plausability"",""GLOBAL_PPCEF""]","MultinomialLogisticRegression","BlobsDataset","0","100.0","1.0","1.0","1.0","true","3.0406334400177","0.3970812677805508","0.5563428455591202","0.040676052199612664","1.0201038122177124"
"COUN-5423","2024-05-13 23:23:33","[""exp_v7"",""PPCEF"",""plausability"",""GLOBAL_PPCEF""]","MultilayerPerceptron","LawDataset","1","271.0","0.8819188475608826","1.0","1.0","true","1.9962986707687378","0.2537631003046924","0.4265450133189995","0.06342454355011969","1.0222166776657104"
"COUN-5422","2024-05-13 23:23:22","[""exp_v7"",""PPCEF"",""plausability"",""GLOBAL_PPCEF""]","LogisticRegression","LawDataset","1","226.0","1.0","0.9955752491950989","1.0","true","2.1247785091400146","0.2155554478982634","0.3600511732882103","0.06806781523756614","1.0276950597763062"
"COUN-5421","2024-05-13 23:23:13","[""exp_v7"",""PPCEF"",""plausability"",""GLOBAL_PPCEF""]","MultilayerPerceptron","LawDataset","0","183.0","0.9125683307647705","1.0","1.0","true","2.2679262161254883","0.246037536508313","0.4111196825693467","0.06587506121368933","1.0369343757629395"
"COUN-5420","2024-05-13 23:23:04","[""exp_v7"",""PPCEF"",""plausability"",""GLOBAL_PPCEF""]","LogisticRegression","LawDataset","0","218.0","1.0","1.0","1.0","true","2.2633960247039795","0.2189818281111963","0.362596002022881","0.06695212544893805","1.0271550416946411"
"COUN-5419","2024-05-13 23:22:55","[""exp_v7"",""PPCEF"",""plausability"",""GLOBAL_PPCEF""]","MultilayerPerceptron","MoonsDataset","1","138.0","0.9420289993286133","1.0","1.0","true","1.3372468948364258","0.43819481666987414","0.5744076429203583","0.012301817934306597","1.2161445617675781"
"COUN-5418","2024-05-13 23:22:47","[""exp_v7"",""PPCEF"",""plausability"",""GLOBAL_PPCEF""]","LogisticRegression","MoonsDataset","1","115.0","1.0","1.0","1.0","true","1.3873014450073242","0.4474338542609977","0.5926684307157184","0.009939321181481586","1.2831041812896729"
"COUN-5417","2024-05-13 23:22:40","[""exp_v7"",""PPCEF"",""plausability"",""GLOBAL_PPCEF""]","MultilayerPerceptron","MoonsDataset","0","65.0","0.9846153855323792","1.0","1.0","true","1.2878085374832153","0.43440034025014995","0.5583355050512182","0.03285913981684118","1.0528621673583984"
"COUN-5416","2024-05-13 23:22:29","[""exp_v7"",""PPCEF"",""plausability"",""GLOBAL_PPCEF""]","LogisticRegression","MoonsDataset","0","90.0","1.0","0.699999988079071","1.0","true","1.2452772855758667","0.3992802677952339","0.5289775536938881","0.01659823788087344","1.1096956729888916"
